,hotel_names,city_names,counrtys,contenantels,ratings,reviews
178,darwin and surrounds,northern territory,australia,australia pacific,nan,
179,central australia,northern territory,australia,australia pacific,nan,
180,Mercure Canberra,australian capital territory,australia,australia pacific,(4.0),2247
181,Mantra on Northbourne Canberra,australian capital territory,australia,australia pacific,(4.0),2214
182,Novotel Canberra,australian capital territory,australia,australia pacific,(3.5),3999
183,ibis budget Canberra,australian capital territory,australia,australia pacific,(3.0),521
184,Peppers Gallery Hotel Canberra,australian capital territory,australia,australia pacific,(4.0),2320
185,Mercure Canberra Belconnen,australian capital territory,australia,australia pacific,(4.5),94
186,ibis Styles Canberra,australian capital territory,australia,australia pacific,(3.0),1325
187,ibis Styles Canberra Tall Trees,australian capital territory,australia,australia pacific,(3.5),602
188,BreakFree Capital Tower Canberra,australian capital territory,australia,australia pacific,(3.5),1249
189,ibis Styles Canberra Eaglehawk,australian capital territory,australia,australia pacific,(3.0),554
190,The Sebel Canberra Campbell,australian capital territory,australia,australia pacific,(4.5),4
191,Mantra MacArthur Canberra,australian capital territory,australia,australia pacific,(4.0),884
192,canberra and surrounds,australian capital territory,australia,australia pacific,nan,
193,ibis Styles Karratha,western australia,australia,australia pacific,(3.5),235
194,Grand Mercure Basildene Manor Accor Vacation Club Apartments,western australia,australia,australia pacific,(5.0),1139
195,The Sebel Mandurah,western australia,australia,australia pacific,(4.0),1270
196,The Adnate Perth - Art Series,western australia,australia,australia pacific,(4.5),117
197,Tribe Perth Kings Park,western australia,australia,australia pacific,(4.5),1101
198,Mantra on Hay Perth,western australia,australia,australia pacific,(4.0),1909
199,Novotel Swan Valley Vines Resort,western australia,australia,australia pacific,(3.5),1173
200,ibis Styles East Perth,western australia,australia,australia pacific,(4.0),91
201,ibis Perth,western australia,australia,australia pacific,(3.5),1560
202,The Sebel West Perth Aire Apartments,western australia,australia,australia pacific,(4.5),99
203,Pullman Bunker Bay Resort Margaret River Region,western australia,australia,australia pacific,(4.0),2554
204,ibis Styles Albany,western australia,australia,australia pacific,(3.5),786
205,perth and south west,western australia,australia,australia pacific,nan,
206,midwest and gascoyne,western australia,australia,australia pacific,nan,
207,pilbarra,western australia,australia,australia pacific,nan,
208,kimberley,western australia,australia,australia pacific,nan,
209,Novotel Wollongong Northbeach,new south wales,australia,australia pacific,(4.0),2811
210,Pullman Quay Grand Sydney Harbour,new south wales,australia,australia pacific,(4.5),1886
211,Mercure Penrith,new south wales,australia,australia pacific,(4.0),179
212,Mercure Albury,new south wales,australia,australia pacific,(4.0),247
213,ibis budget Dubbo,new south wales,australia,australia pacific,(3.5),593
214,ibis Sydney Thornleigh,new south wales,australia,australia pacific,(4.0),589
215,Pullman Magenta Shores Resort,new south wales,australia,australia pacific,(4.0),877
216,Mantra Pavilion Hotel Wagga Wagga,new south wales,australia,australia pacific,(3.5),374
217,ibis Sydney Barangaroo,new south wales,australia,australia pacific,(3.5),1304
218,Mercure Goulburn,new south wales,australia,australia pacific,(4.5),992
219,Mercure Sydney Rouse Hill,new south wales,australia,australia pacific,(4.5),53
220,ibis Styles Tamworth,new south wales,australia,australia pacific,(3.5),583
221,central west,new south wales,australia,australia pacific,nan,
222,sydney and blue mountains,new south wales,australia,australia pacific,nan,
223,"snowy mtns, illawarra and south coast",new south wales,australia,australia pacific,nan,
224,central coast,new south wales,australia,australia pacific,nan,
225,outback nsw,new south wales,australia,australia pacific,nan,
226,new england and riverina,new south wales,australia,australia pacific,nan,
227,hunter valley and north coast,new south wales,australia,australia pacific,nan,
228,Adelaide Rockford,south australia,australia,australia pacific,(4.0),1149
229,Sofitel Adelaide,south australia,australia,australia pacific,(4.0),167
230,Grosvenor Hotel Adelaide,south australia,australia,australia pacific,(3.0),3050
231,Novotel Barossa Valley Resort,south australia,australia,australia pacific,(4.0),2729
232,The Playford Adelaide - MGallery,south australia,australia,australia pacific,(4.5),2853
233,Mercure Kangaroo Island Lodge,south australia,australia,australia pacific,(4.0),779
234,Mantra Hindmarsh Square Adelaide,south australia,australia,australia pacific,(4.0),2246
235,The Watson Adelaide - Art Series,south australia,australia,australia pacific,(4.0),672
236,Mount Lofty House,south australia,australia,australia pacific,(5.0),1051
237,Pullman Adelaide,south australia,australia,australia pacific,(4.5),2348
238,BreakFree Wirrina Cove,south australia,australia,australia pacific,(4.0),98
239,ibis Styles Adelaide Manor,south australia,australia,australia pacific,(4.0),126
240,kangaroo island,south australia,australia,australia pacific,nan,
241,"adelaide, barossa and surrounds",south australia,australia,australia pacific,nan,
242,Mercure Hotel Mildura,victoria,australia,australia pacific,(4.0),736
243,Mercure Bendigo Schaller,victoria,australia,australia pacific,(4.0),1777
244,ibis budget Fawkner,victoria,australia,australia pacific,(3.0),318
245,Mantra Lorne,victoria,australia,australia pacific,(3.5),4983
246,Mövenpick Hotel Melbourne On Spencer,victoria,australia,australia pacific,(4.0),88
247,The Sebel Melbourne Docklands,victoria,australia,australia pacific,(4.0),930
248,ibis budget Dandenong,victoria,australia,australia pacific,(3.0),139
249,Mercure Ballarat - Hotel & Convention Centre,victoria,australia,australia pacific,(4.0),651
250,Mantra Melbourne Melton,victoria,australia,australia pacific,(4.0),87
251,ibis Melbourne Central,victoria,australia,australia pacific,(4.5),283
252,Hotel Chadstone Melbourne - MGallery by Sofitel,victoria,australia,australia pacific,(4.0),154
253,The Sebel Yarrawonga Silverwoods,victoria,australia,australia pacific,(4.0),94
254,high country and gippsland,victoria,australia,australia pacific,nan,
255,murray outback,victoria,australia,australia pacific,nan,
256,great ocean road and grampians,victoria,australia,australia pacific,nan,
257,"melbourne, yarra valley and goldfields",victoria,australia,australia pacific,nan,
258,lakes and wilderness,victoria,australia,australia pacific,nan,
259,ibis Styles Hobart,tasmania,australia,australia pacific,(4.0),706
260,The Sebel Launceston,tasmania,australia,australia pacific,(4.5),1147
261,Mantra One Sandy Bay Road Hobart,tasmania,australia,australia pacific,(4.0),1164
